Event	ID	Name			Wwise Object Path	Notes
	38142515	Play_Firebolt_Explosion			\Default Work Unit\Combat\Firebolt\Play_Firebolt_Explosion	
	79128399	Play_Firebolt			\Default Work Unit\Combat\Firebolt\Play_Firebolt	
	356987792	Play_Unlock_Gate			\Default Work Unit\Environment\Doors and Gates\Play_Unlock_Gate	
	372480478	Play_HitBones			\Default Work Unit\Combat\PowerFist\Play_HitBones	
	1127904212	Play_Open_Gate			\Default Work Unit\Environment\Doors and Gates\Play_Open_Gate	
	1187857689	Play_Swings2H			\Default Work Unit\Combat\Blades\Play_Swings2H	
	1363530945	Play_Drop_Item			\Default Work Unit\Player\Interaction\Play_Drop_Item	
	1452450734	Play_FistSwing			\Default Work Unit\Combat\PowerFist\Play_FistSwing	
	1527095013	Play_Equip_Blade			\Default Work Unit\Player\Interaction\Equip\Play_Equip_Blade	
	1554763031	Play_Equip_Fist			\Default Work Unit\Player\Interaction\Equip\Play_Equip_Fist	
	1937570009	Stop_Ambi			\Default Work Unit\Environment\Stop_Ambi	
	2555710829	Stop_Firebolt			\Default Work Unit\Combat\Firebolt\Stop_Firebolt	
	2616876087	Play_Ambi			\Default Work Unit\Environment\Play_Ambi	
	2837384057	Stop_Music			\Default Work Unit\Stop_Music	
	2881789206	Play_Key_Pickup			\Default Work Unit\Player\Interaction\Pickup\Play_Key_Pickup	
	2908761997	Play_PerfectParryStinger			\Default Work Unit\Combat\Blades\Play_PerfectParryStinger	
	2932040671	Play_Music			\Default Work Unit\Play_Music	
	3196500978	Play_Lever			\Default Work Unit\Environment\Mechanisms\Play_Lever	
	3488755065	Play_Chops			\Default Work Unit\Combat\Blades\Play_Chops	
	3689126666	Play_Jump			\Default Work Unit\Player\Play_Jump	
	3854155799	Play_Footsteps			\Default Work Unit\Player\Play_Footsteps	
	4115969904	Play_Parry			\Default Work Unit\Combat\Blades\Play_Parry	

Switch Group	ID	Name			Wwise Object Path	Notes
	3865314626	Material			\Default Work Unit\Material	
	3991942870	Music			\Default Work Unit\Music	

Switch	ID	Name	Switch Group			Notes
	1216965916	Stone	Material			
	2185786256	Gravel	Material			
	580146960	Bossfight	Music			
	2582085496	Exploration	Music			
	2764240573	Combat	Music			

State Group	ID	Name			Wwise Object Path	Notes
	1069431850	Player			\Default Work Unit\Player	

State	ID	Name	State Group			Notes
	655265632	Alive	Player			
	748895195	None	Player			
	2044049779	Dead	Player			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	21450614	JumpGravel1	D:\Audio\GameDev\Unity\project-id-gameoff2024\project-id-gameoff2024\project-id-gameoff2024_WwiseProject\.cache\Windows\SFX\JumpGravel1_CD6D7486.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Jump\Gravel\JumpGravel1		5116
	31399390	Equip_Blade	D:\Audio\GameDev\Unity\project-id-gameoff2024\project-id-gameoff2024\project-id-gameoff2024_WwiseProject\.cache\Windows\SFX\Equip_Blade_C7CBF045.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Interaction\Equip\Equip_Blade		6340
	66535431	FootstepStone3	D:\Audio\GameDev\Unity\project-id-gameoff2024\project-id-gameoff2024\project-id-gameoff2024_WwiseProject\.cache\Windows\SFX\FootstepStone3_B1E5A22B.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Footsteps\Stone\FootstepStone3		3856
	76519647	Open_Gate	D:\Audio\GameDev\Unity\project-id-gameoff2024\project-id-gameoff2024\project-id-gameoff2024_WwiseProject\.cache\Windows\SFX\Open_Gate_C7CBF045.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment\Doors and Gates\Open_Gate		20776
	87734365	Combat Music	D:\Audio\GameDev\Unity\project-id-gameoff2024\project-id-gameoff2024\project-id-gameoff2024_WwiseProject\.cache\Windows\SFX\Combat Music_F93BF523.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Combat\Combat1\Combat Music		1706620
	113363503	HitSkeleton3	D:\Audio\GameDev\Unity\project-id-gameoff2024\project-id-gameoff2024\project-id-gameoff2024_WwiseProject\.cache\Windows\SFX\HitSkeleton3_C7CBF045.wem		\Actor-Mixer Hierarchy\Default Work Unit\Combat\PowerFist\FistHit\HitBones\HitSkeleton3		6340
	162443735	PerfectParryStinger	D:\Audio\GameDev\Unity\project-id-gameoff2024\project-id-gameoff2024\project-id-gameoff2024_WwiseProject\.cache\Windows\SFX\PerfectParryStinger_04BAF99D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Combat\Blades\Blocking\PerfectParryStinger		18724
	205507889	2Hand2	D:\Audio\GameDev\Unity\project-id-gameoff2024\project-id-gameoff2024\project-id-gameoff2024_WwiseProject\.cache\Windows\SFX\2Hand2_C7CBF045.wem		\Actor-Mixer Hierarchy\Default Work Unit\Combat\Blades\2Hand\Swings\2Hand2		6340
	218368169	JumpStone	D:\Audio\GameDev\Unity\project-id-gameoff2024\project-id-gameoff2024\project-id-gameoff2024_WwiseProject\.cache\Windows\SFX\JumpStone_50CC79CB.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Jump\Stone\JumpStone		3856
	244195078	Firebolt	D:\Audio\GameDev\Unity\project-id-gameoff2024\project-id-gameoff2024\project-id-gameoff2024_WwiseProject\.cache\Windows\SFX\Firebolt_C7CBF045.wem		\Actor-Mixer Hierarchy\Default Work Unit\Combat\Firebolt\Firebolt		99364
